"","gene","log2FoldChange","padj","hgnc_symbol"
"142","ENSG00000126603",-2.97820042390701,0.000118697095813651,"GLIS2"
"143","ENSG00000148481",0.600555618337066,0.000119596649038538,"MINDY3"
"144","ENSG00000166971",0.831280762787522,0.000120111444782865,"AKTIP"
"145","ENSG00000176248",-0.761057300655951,0.000123392928767841,"ANAPC2"
"146","ENSG00000174840",0.638663434916448,0.000124005748609119,"PDE12"
"147","ENSG00000126432",-0.653930379151148,0.000136058559149797,"PRDX5"
"148","ENSG00000149089",0.742442426208535,0.000136058559149797,"APIP"
"149","ENSG00000170142",0.626760949292458,0.000140231295696133,"UBE2E1"
"150","ENSG00000146540",-0.911843401028237,0.000142747812440774,"C7orf50"
"151","ENSG00000120539",0.647317059069832,0.000143267265255156,"MASTL"
"152","ENSG00000142784",-0.661734843357617,0.000148706170840035,"WDTC1"
"153","ENSG00000146731",0.589786456713747,0.000156363681375422,"CCT6A"
"154","ENSG00000153310",0.796074276555498,0.00015721814212212,"FAM49B"
"155","ENSG00000177189",0.643193571550353,0.000161564682719876,"RPS6KA3"
"156","ENSG00000181634",1.43388715522553,0.000163369278901642,"TNFSF15"
"157","ENSG00000198843",0.707697936376922,0.000164417121659537,"SELENOT"
"158","ENSG00000186918",-0.806162245022719,0.00016553583522985,"ZNF395"
"159","ENSG00000140983",-0.654078395855878,0.000167704753837755,"RHOT2"
"160","ENSG00000106290",-0.687794264540195,0.000170065768185436,"TAF6"
"161","ENSG00000197930",0.599917877339846,0.00017306025796806,"ERO1A"
"162","ENSG00000181045",-1.07706122373738,0.000175311711839273,"SLC26A11"
"163","ENSG00000204371",-0.794701014503941,0.000194682393152944,"EHMT2"
"164","ENSG00000012061",-0.585494160918022,0.000204373789681388,"ERCC1"
"165","ENSG00000147421",0.631694279397149,0.000205092869183792,"HMBOX1"
"166","ENSG00000119844",0.593351196639563,0.00021588914294701,"AFTPH"
"167","ENSG00000197372",0.66547524153804,0.00021588914294701,"ZNF675"
"168","ENSG00000171522",1.54005655788115,0.000217678217109936,"PTGER4"
"169","ENSG00000099875",-0.749647419898054,0.000220047586059185,"MKNK2"
"170","ENSG00000148925",0.599532444722944,0.000235663801732859,"BTBD10"
"171","ENSG00000074071",-0.751490128761552,0.000248068000332043,"MRPS34"
"172","ENSG00000105223",-0.850125494250878,0.000268693004648222,"PLD3"
"173","ENSG00000104823",-0.810272844930103,0.000270652862608563,"ECH1"
"174","ENSG00000099800",-0.754394326281237,0.00027100181198051,"TIMM13"
"175","ENSG00000122884",0.6365399768414,0.000272726997933821,"P4HA1"
"176","ENSG00000105429",-0.657445775525159,0.000279921199203772,"MEGF8"
"177","ENSG00000114209",0.714911046702937,0.000296983903543379,"PDCD10"
"178","ENSG00000158716",-0.924142363532689,0.000318052551464991,"DUSP23"
"179","ENSG00000198380",0.645468621217786,0.00032570189038208,"GFPT1"
"180","ENSG00000149932",-0.615550615234997,0.000326131371755534,"TMEM219"
"181","ENSG00000176148",0.857126720916255,0.000327140029125321,"TCP11L1"
"182","ENSG00000069869",0.909159612726373,0.000328014453105942,"NEDD4"
"183","ENSG00000138663",0.593402170104592,0.000330032135268032,"COPS4"
"184","ENSG00000204592",-0.620300981111365,0.000377964307635287,"HLA-E"
"185","ENSG00000071655",-0.689233557391742,0.000393433019926928,"MBD3"
"186","ENSG00000126903",-0.776155496707681,0.000401679226681435,"SLC10A3"
"187","ENSG00000106268",-1.12691950198284,0.000402339221335685,"NUDT1"
"188","ENSG00000154380",0.795663580754148,0.000415841889988079,"ENAH"
"189","ENSG00000138834",-0.658154817444423,0.000423070891396675,"MAPK8IP3"
"190","ENSG00000171045",-1.22791944046016,0.000427777663520633,"TSNARE1"
"191","ENSG00000169660",-1.02475674003553,0.000429334402177406,"HEXD"
"192","ENSG00000185024",-0.597600977265041,0.000430642016313436,"BRF1"
"193","ENSG00000154845",0.618586730321334,0.000430994178150374,"PPP4R1"
"194","ENSG00000172331",0.679275440247334,0.000441060248124601,"BPGM"
"195","ENSG00000008382",-0.951417353098934,0.000452023138045825,"MPND"
"196","ENSG00000115946",0.895036905687351,0.000479137260346546,"PNO1"
"197","ENSG00000125967",-1.13588630874815,0.000506784001613027,"NECAB3"
